Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
90tal,Vilket år började kriget i Jugoslavien?,1991,1990,1992,1989
90tal,Vilket år förklarade sig Kroatien självständigt?,1991,1990,1992,1989
90tal,Vilket år började kriget i Kroatien?,1991,1990,1992,1989
90tal,Vilket år förklarade sig Makedonien självständigt?,1991,1990,1992,1989
90tal,Vilket år började inbördeskriget i Somalia?,1991,1990,1992,1989
90tal,Vilket år störtades Siad Barre?,1991,1990,1992,1989
90tal,Vilket år började inbördeskriget i Sierra Leone?,1991,1990,1992,1989
90tal,Vilket år började Operation Desert Storm?,1991,1990,1992,1989
90tal,Vilket år slutade Gulfkriget?,1991,1990,1992,1989
90tal,Vilket år infördes flygförbudszoner över Irak?,1991,1990,1992,1989
90tal,Vilket år hävdes USA:s sanktioner mot Sydafrika?,1991,1990,1992,1989
90tal,Vilket år blev Hypercolor t-shirts populära?,1991,1990,1992,1989
90tal,Vilket år blev Gushers (fruktgodis) populära?,1991,1990,1992,1989
90tal,Vilket år blev Super Soakers vattenpistolerna populära?,1991,1990,1992,1989
90tal,"Vilket år hade Whitney Houston hit med ""I Will Always Love You""?",1992,1991,1993,1990
90tal,Vilket år hölls Freddie Mercury Tribute Concert?,1992,1991,1993,1994
90tal,Vilket år började Sailor Moon sändas i Japan?,1992,1991,1993,1990
90tal,Vilket år startade Champions League?,1992,1991,1993,1990
90tal,Vilket år vann Andre Agassi första gången Wimbledon?,1992,1991,1993,1990
90tal,Vilket år började kriget i Bosnien?,1992,1991,1993,1990
90tal,Vilket år lanserades Mortal Kombat?,1992,1991,1993,1990
90tal,Vilket år lanserades Goosebumps-böckerna?,1992,1991,1993,1990
90tal,Vilket år förklarade sig Bosnien självständigt?,1992,1991,1993,1990
90tal,Vilket år började belägringen av Sarajevo?,1992,1991,1993,1990
90tal,Vilket år började FN-trupper verka i Bosnien?,1992,1991,1993,1990
90tal,Vilket år började USA:s intervention i Somalia?,1992,1991,1993,1990
90tal,Vilket år infördes FN-sanktioner mot Liberia?,1992,1991,1993,1990
90tal,Vilket år blev Gak (slime-leksak) populär?,1992,1991,1993,1990
90tal,Vilket år blev Wayne's World populärt?,1992,1991,1993,1990
90tal,Vilket år blev flanellskjortor en trend?,1992,1991,1993,1990
90tal,Vilket år blev Crystal Pepsi lanserat och misslyckades?,1992,1991,1993,1990
90tal,Vilket år blev Dunkaroos (kex med dipp) populära?,1992,1991,1993,1990
90tal,Vilket år blev Skip-It leksaken populär?,1992,1991,1993,1990
90tal,Vilket år blev Nerf-blasters populära?,1992,1991,1993,1990
90tal,Vilket år blev Pogo Balls populära?,1992,1991,1993,1990
90tal,"Vilket år hade 2 Unlimited hit med ""No Limit""?",1993,1992,1994,1991
90tal,Vilket år hade Jurassic Park premiär?,1993,1992,1994,1991
90tal,Vilket år började The X-Files sändas?,1993,1992,1994,1991
90tal,Vilket år började Frasier sändas?,1993,1992,1994,1991
90tal,Vilket år började Beavis and Butt-Head sändas?,1993,1992,1994,1991
90tal,Vilket år började Power Rangers sändas?,1993,1992,1994,1991
90tal,Vilket år attackerades Monica Seles?,1993,1992,1994,1991
90tal,Vilket år blev Bill Clinton president?,1993,1992,1994,1991
90tal,Vilket år började Internet bli populärt?,1993,1992,1994,1991
90tal,Vilket år började Ricki Lake sändas?,1993,1992,1994,1991
90tal,Vilket år lanserades Doom?,1993,1992,1994,1991
90tal,Vilket år lanserades Magic: The Gathering?,1993,1992,1994,1991
90tal,Vilket år blev Beanie Babies populärt?,1993,1992,1994,1991
90tal,Vilket år bombades Vita huset i Moskva?,1993,1992,1994,1991
90tal,Vilket år inrättades Internationella krigsförbrytartribunalen för f.d. Jugoslavien?,1993,1992,1994,1991
90tal,Vilket år inträffade slaget vid Mogadishu?,1993,1992,1994,1991
90tal,Vilket år dog Chris Hani?,1993,1992,1994,1991
90tal,Vilket år slutade första Intifadan?,1993,1992,1994,1991
90tal,Vilket år undertecknades första Oslo-avtalet?,1993,1992,1994,1991
90tal,Vilket år blev Beavis and Butt-Head kontroversiellt?,1993,1992,1994,1991
90tal,Vilket år blev Pogs en stor trend?,1993,1992,1994,1991
90tal,Vilket år introducerades Scrunchies som hårsmycken?,1993,1992,1994,1991
90tal,Vilket år blev Trolls populära igen?,1993,1992,1994,1991
90tal,"Vilket år blev ""Phat"" (som i coolt) populärt?",1993,1992,1994,1991
90tal,Vilket år blev Doc Martens boots populära?,1993,1992,1994,1991
90tal,Vilket år blev Moon Shoes populära?,1993,1992,1994,1991
90tal,Vilket år dog Kurt Cobain?,1994,1993,1995,1992
90tal,Vilket år bildades Spice Girls?,1994,1993,1995,1992
90tal,"Vilket år släppte Green Day ""Dookie""?",1994,1993,1995,1992
90tal,Vilket år hade Forrest Gump premiär?,1994,1993,1995,1992
90tal,Vilket år hade The Lion King premiär?,1994,1993,1995,1992
90tal,Vilket år hade Pulp Fiction premiär?,1994,1993,1995,1992
90tal,Vilket år hade Speed premiär?,1994,1993,1995,1992
90tal,Vilket år började Friends sändas?,1994,1993,1995,1992
90tal,Vilket år började Tre Kronor sändas?,1994,1993,1995,1992
90tal,Vilket år hölls fotbolls-VM i USA?,1994,1993,1995,1992
90tal,Vilket år vann Sverige VM-brons i fotboll?,1994,1990,1992,1998
90tal,Vilket år vann Sverige OS-guld i ishockey i Lillehammer?,1994,1992,1998,1996
90tal,Vilket år blev Nelson Mandela Sydafrikas president?,1994,1993,1995,1992
90tal,Vilket år hölls folkomröstningen om EU?,1994,1993,1995,1992
90tal,Vilket år sjönk Estonia?,1994,1993,1995,1992
90tal,Vilket år grundades Amazon?,1994,1993,1995,1992
90tal,Vilket år grundades Yahoo?,1994,1993,1995,1992
90tal,Vilket år började första Tjetjenienkriget?,1994,1993,1995,1992
90tal,Vilket år började Rwanda-folkmordet?,1994,1993,1995,1992
90tal,Vilket år sköts Habyarimanas plan ner?,1994,1993,1995,1992
90tal,Vilket år inrättades Internationella krigsförbrytartribunalen för Rwanda?,1994,1993,1995,1992
90tal,Vilket år drog sig USA ur Somalia?,1994,1993,1995,1992
90tal,Vilket år hölls Sydafrikas första demokratiska val?,1994,1993,1995,1992
90tal,Vilket år blev Mandela Sydafrikas president?,1994,1993,1995,1992
90tal,Vilket år bildades Palestinska myndigheten?,1994,1993,1995,1992
90tal,Vilket år slöts fred mellan Israel och Jordanien?,1994,1993,1995,1992
90tal,"Vilket år blev ""Da bomb"" populärt?",1994,1993,1995,1992
90tal,Vilket år slutade kriget i Bosnien?,1995,1994,1996,1993
90tal,Vilket år gick Sverige med i EU?,1995,1994,1996,1993
90tal,Vilket år lanserades Windows 95?,1995,1994,1996,1993
90tal,Vilket år grundades eBay?,1995,1994,1996,1993
90tal,Vilket år lanserades första PlayStation?,1995,1994,1996,1993
90tal,Vilket år lanserades Sega Saturn?,1995,1994,1996,1993
90tal,Vilket år lanserades Virtual Reality som konsumentprodukt?,1995,1994,1996,1993
90tal,Vilket år inträffade Srebrenica-massakern?,1995,1994,1996,1993
90tal,Vilket år undertecknades Dayton-avtalet?,1995,1994,1996,1993
90tal,Vilket år började NATO:s bombkampanj mot Bosnien?,1995,1994,1996,1993
90tal,"Vilket år infördes ""Oil-for-Food""-programmet?",1995,1994,1996,1993
90tal,Vilket år bildades Sannings- och försoningskommissionen?,1995,1994,1996,1993
90tal,Vilket år mördades Yitzhak Rabin?,1995,1994,1996,1993
90tal,Vilket år undertecknades andra Oslo-avtalet?,1995,1994,1996,1993
90tal,"Vilket år blev ""The Rachel"" populär?",1995,1994,1996,1993
90tal,Vilket år blev Beanie Babies galet populära?,1995,1994,1996,1993
90tal,"Vilket år blev ""As if!"" populärt från Clueless?",1995,1994,1996,1993
90tal,"Vilket år blev ""Talk to the hand"" populärt?",1995,1994,1996,1993
90tal,Vilket år blev chokers (halsband) populära?,1995,1994,1996,1993
90tal,Vilket år blev Pop Rocks populära igen?,1995,1994,1996,1993
90tal,"Vilket år hade Alanis Morissette hit med ""Ironic""?",1996,1995,1997,1994
90tal,"Vilket år hade ""Macarena"" världssuccé?",1996,1995,1997,1994
90tal,Vilket år hade Independence Day premiär?,1996,1995,1997,1994
90tal,Vilket år blev Göran Persson statsminister?,1996,1995,1997,1994
90tal,Vilket år återvalde amerikaner Bill Clinton?,1996,1995,1997,1994
90tal,Vilket år lanserades Hotmail?,1996,1995,1997,1994
90tal,Vilket år lanserades ICQ?,1996,1995,1997,1994
90tal,Vilket år lanserades Nintendo 64?,1996,1995,1997,1994
90tal,Vilket år lanserades Tamagotchi?,1996,1995,1997,1994
90tal,Vilket år slutade första Tjetjenienkriget?,1996,1995,1997,1994
90tal,Vilket år dog Dzjokhar Dudajev?,1996,1995,1997,1994
90tal,Vilket år slutade belägringen av Sarajevo?,1996,1995,1994,1997
90tal,Vilket år började första Kongokriget?,1996,1995,1997,1994
90tal,"Vilket år blev ""The Macarena"" världshit?",1996,1995,1997,1994
90tal,Vilket år blev Tickle Me Elmo den hetaste leksaken?,1996,1995,1997,1994
90tal,Vilket år blev föräldrar tokiga över Tickle Me Elmo?,1996,1995,1997,1994
90tal,Vilket år blev Jnco jeans (vida ben) populära?,1996,1995,1997,1994
90tal,"Vilket år hade Aqua hit med ""Barbie Girl""?",1997,1996,1998,1995
90tal,Vilket år hade Titanic premiär?,1997,1996,1998,1995
90tal,Vilket år började Married... with Children sluta sändas?,1997,1996,1998,1995
90tal,Vilket år började South Park sändas?,1997,1996,1998,1995
90tal,Vilket år började Pokemon sändas?,1997,1996,1998,1995
90tal,Vilket år började Expedition Robinson sändas?,1997,1996,1998,1995
90tal,Vilket år lanserades DVD?,1997,1995,1999,1996
90tal,Vilket år började Harry Potter-böckerna ges ut?,1997,1996,1998,1995
90tal,Vilket år dog Princess Diana?,1997,1996,1998,1995
90tal,Vilket år störtades Mobutu Sese Seko?,1997,1996,1998,1995
90tal,Vilket år blev Charles Taylor president i Liberia?,1997,1996,1998,1995
90tal,Vilket år dog Princess Diana och blev Princess Bear skapad?,"1997","1996","1998","1995"
90tal,Vilket år blev Surge-läsken populär?,1997,1996,1998,1995
90tal,Vilket år lämnade Geri Halliwell Spice Girls?,1998,1997,1999,1996
90tal,Vilket år hölls fotbolls-VM i Frankrike?,1998,1997,1999,1996
90tal,Vilket år började Monica Lewinsky-skandalen?,1998,1997,1999,1996
90tal,Vilket år lanserades Game Boy Color?,1998,1997,1999,1996
90tal,Vilket år lanserades Furby?,1998,1997,1999,1996
90tal,Vilket år började kriget i Kosovo?,1998,1997,1999,1996
90tal,Vilket år började andra Kongokriget?,1998,1997,1999,1996
90tal,Vilket år bombade USA Irak i Operation Desert Fox?,1998,1997,1999,1996
90tal,Vilket års juldagsgåva blev Furby?,1998,1997,1999,1996
90tal,Vilket år lanserades den första Pokemon-filmen?,1998,1997,1999,1996
90tal,Vilket år blev frostat hår (spiky gel-hår) populärt?,1998,1997,1999,1996
90tal,Vilket år hade The Matrix premiär?,1999,1998,1997,2000
90tal,Vilket år slutade Steffi Graf sin karriär?,1999,1998,1997,2000
90tal,Vilket år började Big Brother sändas?,1999,1998,1997,2000
90tal,Vilket år lanserades MSN Messenger?,1999,1998,1997,2000
90tal,Vilket år började andra Tjetjenienkriget?,1999,1998,1997,2000
90tal,Vilket år avgick Boris Jeltsin som president?,1999,2000,1998,2001
90tal,Vilket år började NATO bomba Jugoslavien?,1999,1998,1997,2000
90tal,Vilket år slutade Kosovo-kriget?,1999,1998,2000,1997
90tal,Vilket år dog Franjo Tuđman?,1999,1998,2000,1997
90tal,Vilket år avgick Nelson Mandela som president?,1999,1998,2000,1997
90tal,Vilket år dog Kung Hussein av Jordanien?,1999,1998,2000,1997
90tal,"Vilket år blev ""Wassup!"" populärt från Budweiser-reklamen?",1999,1998,1997,2000
90tal,Vilket år störtades Slobodan Milošević?,2000,1999,2001,1998
90tal,Vilket år började andra Intifadan?,2000,1999,1998,2001
90tal,Vilket år hölls Camp David-toppmötet?,2000,1999,1998,2001
90tal,Vilket år mördades Laurent-Désiré Kabila?,2001,2000,2002,1999
90tal,Vilket år började Sally Jessy Raphael sluta sändas?,2002,1998,2000,1999
90tal,Vilket år började Israel bygga säkerhetsmuren?,2002,2001,2000,2003
90tal,Vilket år dog Alija Izetbegović?,2003,2002,2004,2001
90tal,Vilket år slutade Surge att tillverkas?,2003,2002,2004,2001
90tal,Vilket år arresterades Radovan Karadžić?,2008,2007,2009,2006
90tal,Vilket år arresterades Ratko Mladić?,2011,2010,2012,2009
90tal,Hur många muslimer dödades i Srebrenica?,8000,6000,10000,5000
90tal,"Vilket år gjorde Bart Simpson ""Don't have a cow"," man"" populärt?",1990,1989,1991
90tal,Vad kostade Tickle Me Elmo på svarta marknaden?,$1500,500 kr,100 kr,Gratis
90tal,Hur mycket kostade Princess Bear på höjden av hysterin?,$5000+,$1000,$500,$10000
90tal,"Vad kostade det att få ""The Rachel""-frisyren?",$600+,200 kr,100 kr,Gratis
90tal,Hur länge fanns Crystal Pepsi kvar?,1 år,6 månader,2 år,3 år
90tal,Hur länge varade Gulfkriget?,100 dagar,6 månader,1 år,42 dagar
90tal,Hur länge varade Rwanda-folkmordet?,100 dagar,6 månader,1 år,200 dagar
90tal,Hur länge varade markanfallet?,100 timmar,4 dagar,1 vecka,72 timmar
90tal,På vilken dag frigavs Nelson Mandela?,11 februari,27 april,10 maj,16 juni
90tal,På vilken dag började luftbombningarna mot Irak?,17 januari,15 januari,2 augusti,28 februari
90tal,På vilken dag invaderade Irak Kuwait?,2 augusti,15 januari,17 januari,28 februari
90tal,Hur många irakiska soldater beräknas ha dött?,20000-35000,10000-15000,50000-75000,5000-10000
90tal,På vilken dag började markanfallet?,24 februari,17 januari,28 februari,15 januari
90tal,På vilken dag hölls det första demokratiska valet?,27 april,11 februari,10 maj,16 juni
90tal,Hur länge hade Mandela suttit i fängelse?,27 år,25 år,30 år,20 år
90tal,På vilken dag slutade Gulfkriget?,28 februari,24 februari,17 januari,2 augusti
90tal,Hur länge varade belägringen av Sarajevo?,3 år och 10 månader,4 år,3 år,2 år och 6 månader
90tal,Hur länge varade luftkampanjen?,38 dagar,42 dagar,100 dagar,30 dagar
90tal,Hur länge varade Operation Desert Fox?,4 dagar,3 dagar,1 vecka,72 timmar
90tal,Hur vida var Jnco jeans i benen?,40+ tum,20 tum,30 tum,50+ tum
90tal,Hur stor procent röstade ja till EU?,52.3%,47.7%,55.9%,49.1%
90tal,Hur stor andel av rösterna fick ANC?,62.6%,55.2%,68.7%,71.3%
90tal,Hur länge bombade NATO Jugoslavien?,78 dagar,100 dagar,56 dagar,120 dagar
90tal,Hur många människor dödades i Rwanda-folkmordet?,800000-1000000,500000-700000,1200000-1500000,300000-500000
90tal,Vem efterträdde Kung Hussein?,Abdullah II,Hassan,Ali,Hamzah
90tal,"Vilket svenskt band hade internationell succé med ""All That She Wants""?",Ace of Base,Roxette,ABBA,Army of Lovers
90tal,"Vilket svenskt band sjöng ""The Sign""?",Ace of Base,Roxette,Europe,The Cardigans
90tal,Vilket märke av träningskläder var mycket populärt på 90-talet?,Adidas,Nike,Puma,Reebok
90tal,Vad hette den första populära manga-serien i väst?,Akira,Dragon Ball,Sailor Moon,Naruto
90tal,Vem var Bill Clintons vicepresident?,Al Gore,Dan Quayle,Joe Biden,Dick Cheney
90tal,"Vem sjöng ""Black Velvet""?",Alannah Myles,Bonnie Raitt,Melissa Etheridge,Sheryl Crow
90tal,Vilket år vann Sverige fotbolls-VM?,Aldrig,1958,1994,1950
90tal,"Vad betydde ""As if!"" i Clueless?",Aldrig i livet,Kanske,Absolut,Okej
90tal,Vem skapade Carlton Dance?,Alfonso Ribeiro,Will Smith,Tom Jones,Courteney Cox
90tal,Vem var Bosniens första president?,Alija Izetbegović,Haris Silajdžić,Bakir Izetbegović,Zlatko Lagumdžija
90tal,Vad kunde man gömma i Jnco jeans fickor?,Allt möjligt,Ingenting,Bara mynt,Bara nycklar
90tal,"Vilket TV-program handlade om att folk blev ""punk'd""?",America's Funniest Home Videos,Candid Camera,Punk'd,The Tom Green Show
90tal,Vilket parti vann det första demokratiska valet?,ANC,National Party,Inkatha,Democratic Party
90tal,Vad räknade Skip-It?,Antal hopp,Tid,Kalorier,Steg
90tal,Vad utlöste andra Intifadan?,Ariel Sharons besök på Tempelberget,Oslo-avtalets misslyckande,Rabins mord,Camp David-toppmötet
90tal,"Vad hette den berömda dansrörelsen i ""Macarena""?",Armbågsrörelsen,Hoftrörelser,Handklapp,Alla ovanstående
90tal,Var hade Rwanda-tribunalen sitt säte?,Arusha,Kigali,Nairobi,Dar es Salaam
90tal,Vad hette huvudkaraktären i Pokemon?,Ash Ketchum,Gary Oak,Brock Harrison,Misty Williams
90tal,Vad hette eBay ursprungligen?,AuctionWeb,OnlineAuction,BidSite,SellStuff
90tal,Vad hette kuppen som försökte störta Gorbatjov i augusti 1991?,Augustkuppen,Moskva-kuppen,Kreml-kuppen,Hardliner-kuppen
90tal,Vem vann första Champions League 1992?,Barcelona,AC Milan,Marseille,Ajax
90tal,Vem genomförde massakern i Hebron?,Baruch Goldstein,Yigal Amir,Meir Kahane,Jack Teitel
90tal,Vem var USA:s president under Oslo-avtalet?,Bill Clinton,George H.W. Bush,Ronald Reagan,George W. Bush
90tal,Vad hette Eiffel 65:s blåa hit?,Blue (Da Ba Dee),I'm Blue,Blue Monday,Blue Bayou
90tal,Vem var programledare för America's Funniest Home Videos?,Bob Saget,Tom Bergeron,Alfonso Ribeiro,Dave Coulier
90tal,Vem vann fotbolls-VM 1994?,Brasilien,Italien,Sverige,Tyskland
90tal,Vad hette rivaliteten mellan Oasis och Blur?,Britpop Battle,Battle of Britain,Manchester vs London,Rock Wars
90tal,Vad hette de enorma skorna som var populära på 90-talet?,"Buffaloskor","Platformskor","Klackskor","Sneakers"
90tal,"Vad gjorde Wayne och Garth när de sa ""We're not worthy""?",Bugade sig,Föll på knä,Höjde händerna,Dansade
90tal,Vad gjorde Hypercolor t-shirts?,Bytte färg av värme,Lyste i mörker,Var vattenresistent,Var stretchiga
90tal,"Vad betydde ""Da bomb""?",Bäst/Coolt,Farligt,Högt,Snabbt
90tal,"Vad hette den galna dansrörelsen från ""The Carlton Dance""?",Carlton Dance,Fresh Prince Dance,Will Smith Dance,Alfonso Dance
90tal,Vad hette massakern i Hebron 1994?,Cave of the Patriarchs massacre,Ibrahimi Mosque massacre,Hebron massacre,Alla ovanstående
90tal,Vad hette kaféet i Friends?,Central Perk,The Coffee Bean,Starbucks,Café Nero
90tal,Vem ledde rebellerna i Liberia?,Charles Taylor,Samuel Doe,Ellen Johnson Sirleaf,Prince Johnson
90tal,Vad hette huvudkaraktären i Clueless?,Cher,Dionne,Tai,Amber
90tal,Vad hette Jeltsins ekonomiska reformprogram?,Chockterapi,Privatisering,Glasnost,Perestrojka
90tal,Vilken smak var mest populär på Dunkaroos?,Choklad,Vanilj,Jordgubb,Karamell
90tal,Hur många koalitionssoldater dog i Gulfkriget?,Cirka 300,Cirka 1000,Cirka 100,Cirka 500
90tal,Vem deltog i Camp David-toppmötet 2000?,Clinton,Barak,Arafat,Alla ovanstående
90tal,"Vad betydde ""Phat"" på 90-talet?",Coolt/Awesome,Tjockt,Dumt,Fult
90tal,Vad hette Kramers förnamn?,Cosmo,George,Newman,Frank
90tal,Vilket land kom Aqua från?,Danmark,Sverige,Norge,Finland
90tal,Vem spelade Fox Mulder?,David Duchovny,Gillian Anderson,Mitch Pileggi,William B. Davis
90tal,Vad hette fredsavtalet som slutade Bosnienkriget?,Dayton-avtalet,Oslo-avtalet,Camp David-avtalet,Wye River-avtalet
90tal,Varför slutade folk köpa Hypercolor t-shirts?,De bleknade snabbt,För dyra,Gick sönder,Var fula
90tal,Vad hände när man åt Pop Rocks?,De poppade i munnen,Inget,De blev mjuka,De blev hårda
90tal,Vad var speciellt med Beanie Babies?,De var begränsade upplagor,De var stora,De kunde prata,De lyste i mörker
90tal,Vad hette Zaire efter Mobutus fall?,Demokratiska republiken Kongo,Kongo-Kinshasa,Kongo,Centralafrikanska republiken
90tal,Vad var speciellt med Furby?,"Den kunde ""lära sig"" prata",Den kunde gå,Den kunde flyga,Den kunde äta
90tal,Vem ledde Sannings- och försoningskommissionen?,Desmond Tutu,Nelson Mandela,Thabo Mbeki,Alex Boraine
90tal,Vad var speciellt med Troll-dockornas hår?,Det stod rakt upp,Det var långt,Det var lockigt,Det bytte färg
90tal,Vad var speciellt med Crystal Pepsi?,Det var genomskinligt,Det var sött,Det var salt,Det var varmt
90tal,Vem var USA:s försvarsminister under Gulfkriget?,Dick Cheney,Colin Powell,James Baker,Brent Scowcroft
90tal,Vad stod DVD för ursprungligen?,Digital Versatile Disc,Digital Video Disc,Dynamic Video Disc,Digital Visual Disc
90tal,Vem var Tjetjeniens president under första kriget?,Dzjokhar Dudajev,Aslan Maskhadov,Ramzan Kadyrov,Akhmad Kadyrov
90tal,Vilken annan Bart Simpson-fras blev populär?,Eat my shorts,Cowabunga,Ay caramba,Don't have a cow
90tal,Vem var sångare i Pearl Jam?,Eddie Vedder,Chris Cornell,Layne Staley,Scott Weiland
90tal,Vad älskade Beavis mest av allt?,Eld,TV,Nachos,Gitarrer
90tal,"Vem sjöng ""Can You Feel the Love Tonight"" i The Lion King?",Elton John,Phil Collins,Sting,George Michael
90tal,Vad sa Wayne och Garth när något var coolt?,Excellent!,Awesome!,Radical!,Tubular!
90tal,Vad var Surge-läsk känd för?,Extremt hög koffeinhalt,Grön färg,Billig pris,Konstigt smak
90tal,Vem var Sydafrikas vite president före Mandela?,F.W. de Klerk,P.W. Botha,John Vorster,Hendrik Verwoerd
90tal,Vem var Sydafrikas president när Mandela frigavs?,F.W. de Klerk,P.W. Botha,John Vorster,Hendrik Verwoerd
90tal,Vem blev Sydafrikas andra vicepresident?,F.W. de Klerk,Thabo Mbeki,Mangosuthu Buthelezi,Walter Sisulu
90tal,Vad var Doom för typ av spel?,First-person shooter,Plattformsspel,Racingspel,Rollspel
90tal,Vem ledde RUF?,Foday Sankoh,Johnny Paul Koroma,Ahmad Tejan Kabbah,Valentine Strasser
90tal,Vem var Kroatiens första president?,Franjo Tuđman,Stjepan Mesić,Ivo Josipović,Ante Gotovina
90tal,Vem vann fotbolls-VM 1998?,Frankrike,Brasilien,Italien,Kroatien
90tal,Vilket namn använde FN för Makedonien?,FYROM,Makedonien,Nordmakedonien,Skopje
90tal,Vem ledde kuppen mot Gorbatjov?,Gennadij Janujev,Boris Jeltsin,Vladimir Krjutjkov,Dmitrij Jazov
90tal,Vem var USA:s president under Gulfkriget?,George H.W. Bush,Ronald Reagan,Bill Clinton,George W. Bush
90tal,Vem ledde den internationella koalitionen?,George H.W. Bush,Margaret Thatcher,François Mitterrand,Helmut Kohl
90tal,Vem spelade Dana Scully?,Gillian Anderson,David Duchovny,Mitch Pileggi,Annabeth Gish
90tal,Vilken klädstil var populär i början av 90-talet?,Grunge,Preppy,Gothic,Punk
90tal,Vilken musikgenre gjorde flanellskjortor populära?,Grunge,Pop,Hip-hop,Country
90tal,Vilken subkultur älskade Doc Martens?,Grunge,Goth,Punk,Alla ovanstående
90tal,Vilken färg hade Surge?,Grön,Blå,Orange,Röd
90tal,Vem attackerade Monica Seles?,Günter Parche,En galning,Stefan Grafs fan,En tysk man
90tal,Var hade Jugoslavientribunalen sitt säte?,Haag,Genève,Strasbourg,Bryssel
90tal,Vad använde man för att få frostat hår?,Hair gel,Hair spray,Pomade,Wax
90tal,Vad hette den första Harry Potter-boken?,Harry Potter and the Philosopher's Stone,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Goblet of Fire
90tal,Vem ledde Kosovoalbanska befrielsearmén (UÇK)?,Hashim Thaçi,Ibrahim Rugova,Ramush Haradinaj,Agim Çeku
90tal,Vart kom Pogs ursprungligen från?,Hawaii,Japan,Kalifornien,Texas
90tal,Vem var Tysklands första kansler efter återföreningen?,Helmut Kohl,Gerhard Schröder,Angela Merkel,Willy Brandt
90tal,Vad var Skip-It?,Hopprep för en fot,Hopprep,Boll,Frisbee
90tal,Vad hette hotellet i Tre Kronor?,Hotel Tre Kronor,Grand Hotel,Hotel Stockholm,Palace Hotel
90tal,Mellan vilka grupper utkämpades Rwanda-folkmordet?,Hutuer och tutsier,Hutuer och twaer,Tutsier och twaer,Alla ovanstående
