Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
60tal,Vilket år mördades Ngo Dinh Diem?,1963,1962,1964,1961
60tal,Vilket år flög Valentina Teresjkova?,1963,1962,1964,1961
60tal,Vilket år höll MLK sitt I Have a Dream-tal?,1963,1962,1964,1961
60tal,"Vilket år kom ""Tyst vår"" på svenska?",1963,1962,1964,1961
60tal,Vilket år hade The Beatles sitt genombrott i USA?,1964,1963,1965,1962
60tal,"Vilket år hade ""Goldfinger"" premiär?",1964,1963,1965,1962
60tal,Vilket år hölls OS i Tokyo?,1964,1963,1965,1962
60tal,Vilket år besegrade Muhammad Ali Sonny Liston första gången?,1964,1963,1965,1962
60tal,Vilket år började vietnamkriget eskalera under LBJ?,1964,1963,1965,1962
60tal,Vilket år inträffade Tonkinbukt-incidenten?,1964,1963,1965,1962
60tal,Vilket år antogs Civil Rights Act?,1964,1963,1965,1962
60tal,Vilket år höjdes barnbidraget första gången på 60-talet?,1964,1963,1965,1962
60tal,"Vilket år släpptes ""Satisfaction""?",1965,1964,1966,1963
60tal,Vilket år började Bob Dylan spela elgitarr?,1965,1964,1966,1963
60tal,"Vilket år släpptes ""Like a Rolling Stone""?",1965,1964,1966,1963
60tal,"Vilket år hade ""The Sound of Music"" premiär?",1965,1964,1966,1963
60tal,Vilket år började färg-TV sändas i USA?,1965,1964,1966,1963
60tal,"Vilket år släpptes ""California Dreamin'""?",1965,1964,1966,1963
60tal,Vilket år mördades Malcolm X?,1965,1964,1966,1963
60tal,Vilket år började Operation Rolling Thunder?,1965,1964,1966,1963
60tal,Vilket år utfördes första rymdpromenaden?,1965,1964,1966,1963
60tal,Vilket år antogs Voting Rights Act?,1965,1964,1966,1963
60tal,Vilket år mördades Malcolm X?,1965,1964,1966,1963
60tal,Vilket år kritiserade Sverige USA för Vietnamkriget?,1965,1964,1966,1963
60tal,Vilket år höll Palme sitt Vietnamtal?,1965,1964,1966,1963
60tal,Vilket år grundades FNL-rörelsen?,1965,1964,1966,1963
60tal,Vilket år började bygget av miljonprogrammet?,1965,1964,1966,1963
60tal,Vilket år slutade The Beatles turnera?,1966,1965,1967,1964
60tal,"Vilket år släpptes ""Pet Sounds""?",1966,1965,1967,1964
60tal,"Vilket år började ""Star Trek"" sändas?","1966",1965,1967,1964
60tal,"Vilket år började ""Batman"" sändas?",1966,1965,1967,1964
60tal,"Vilket år hade ""Persona"" premiär?",1966,1965,1967,1964
60tal,Vilket år skapades Bamse?,1966,1965,1967,1964
60tal,Vilket år började bygget av Kärnkraftverket i Oskarshamn?,1966,1965,1967,1964
60tal,Vilket år hade Aretha Franklin sitt genombrott?,1967,1966,1968,1965
60tal,Vilket år vägrade Muhammad Ali delta i Vietnam?,1967,1966,1968,1965
60tal,"Vilket år hade ""Bonnie and Clyde"" premiär?",1967,1966,1968,1965
60tal,"Vilket år hade ""The Graduate"" premiär?",1967,1966,1968,1965
60tal,"Vilket år började ""The Smothers Brothers Comedy Hour"" sändas?",1967,1966,1968,1965
60tal,Vilket år dog Che Guevara?,1967,1966,1968,1965
60tal,Vilket år började svenska deserter från Vietnam komma till Sverige?,1967,1966,1968,1965
60tal,Vilket år började Rinkeby byggas?,1967,1966,1968,1965
60tal,Vilket år infördes högertrafik i Sverige?,1967,1966,1968,1965
60tal,"Vilket år hade ""2001: A Space Odyssey"" premiär?",1968,1967,1969,1966
60tal,Vilket år hölls OS i Mexico City?,1968,1967,1969,1966
60tal,Vilket år mördades Martin Luther King?,1968,1967,1969,1966
60tal,"Vilket år hade ""Rosemary's Baby"" premiär?",1968,1967,1969,1966
60tal,"Vilket år hade ""Planet of the Apes"" premiär?",1968,1967,1969,1966
60tal,"Vilket år började ""The Mod Squad"" sändas?",1968,1967,1969,1966
60tal,"Vilket år började ""Rowan & Martin's Laugh-In"" sändas?",1968,1967,1969,1966
60tal,Vilket år inträffade Tet-offensiven?,1968,1967,1969,1966
60tal,Vilket år mördades Martin Luther King?,1968,1967,1969,1966
60tal,Vilket år mördades Robert F. Kennedy?,1968,1967,1969,1966
60tal,Vilket år började studentrevoltena i Europa?,1968,1967,1969,1966
60tal,Vilket år började H&M sälja herrkläder?,1968,1967,1969,1966
60tal,Vilket år dog Brian Jones?,1969,1968,1970,1967
60tal,Vilket år landade Apollo 11 på månen?,1969,1968,1970,1967
60tal,Vilket år blev Olof Palme statsminister?,1969,1968,1970,1967
60tal,Vilket år hölls Woodstock?,1969,1968,1970,1967
60tal,"Vilket år började ""Scooby-Doo"" sändas?",1969,1968,1970,1967
60tal,"Vilket år hade ""Easy Rider"" premiär?",1969,1968,1967,1970
60tal,Vilket år dog Ho Chi Minh?,1969,1968,1970,1967
60tal,Vilket år landade Apollo 11 på månen?,1969,1968,1970,1967
60tal,Vilket år avgick de Gaulle?,1969,1968,1970,1967
60tal,Vilket år lämnade Tage Erlander statsministerposten?,1969,1968,1970,1967
60tal,Vilket år blev Olof Palme statsminister?,1969,1968,1970,1967
60tal,Vilket år började TV2 sändas?,1969,1968,1970,1967
60tal,Vilket år upplöstes The Beatles?,1970,1969,1971,1968
60tal,Vilket år dog Jimi Hendrix?,1970,1969,1971,1968
60tal,Vilket år dog Janis Joplin?,1970,1969,1971,1968
60tal,Vilket år började färg-TV i Sverige?,1970,1969,1971,1968
60tal,Vilket år började färg-TV i Sverige?,1970,1969,1971,1968
60tal,Vilket år dog Jim Morrison?,1971,1970,1969,1972
60tal,Vilket år togs Oskarshamn 1 i drift?,1972,1971,1973,1970
60tal,Vilket år öppnade Tunnelbanan:s blå linje?,1975,1974,1976,1973
60tal,Hur många människor deltog i marschen?,250000,200000,300000,400000
60tal,Hur många människor var på Woodstock?,400000,300000,500000,200000
60tal,Hur många amerikanska soldater var i Vietnam vid slutet av 60-talet?,540000,300000,750000,1000000
60tal,Vad hette Rolling Stones första stora hit?,(I Can't Get No) Satisfaction,Paint It Black,Ruby Tuesday,Angie
60tal,Vilken tid på dygnet bytte man trafik?,05:00,04:00,06:00,03:00
60tal,I hur många städer bröt upplopp ut?,100+,50,75,200
60tal,Hur länge var Gagarin i rymden?,108 minuter,90 minuter,120 minuter,150 minuter
60tal,På vilken dag flög Gagarin?,12 april,11 april,13 april,10 april
60tal,På vilken dag började Berlinmuren byggas?,13 augusti,12 augusti,14 augusti,15 augusti
60tal,På vilken dag började byggandet av Berlinmuren?,13 augusti,12 augusti,14 augusti,15 augusti
60tal,Hur länge varade Kubakrisen?,13 dagar,14 dagar,12 dagar,15 dagar
60tal,Hur länge varade Kubakrisen?,13 dagar,14 dagar,12 dagar,15 dagar
60tal,Hur länge var Shepard i rymden?,15 minuter,30 minuter,45 minuter,60 minuter
60tal,Vilket år började Vällingby byggas?,1950-talet,1960-talet,1940-talet,1970-talet
60tal,Vilket år började miljöfrågor diskuteras i Sverige?,1960-talets slut,1960-talets början,1970-talets början,1950-talets slut
60tal,På vilken gren gjorde de Black Power-hälsningen?,200 meter,100 meter,Längdhopp,400 meter
60tal,På vilken dag mördades JFK?,22 november,23 november,21 november,24 november
60tal,När sköts Lee Harvey Oswald?,24 november,23 november,25 november,22 november
60tal,På vilken dag infördes högertrafik?,3 september,2 september,4 september,1 september
60tal,Hur länge förbjöds Muhammad Ali att boxas?,3 år,2 år,4 år,5 år
60tal,På vilken dag mördades MLK?,4 april,5 april,3 april,6 april
60tal,Vad hette The Beatles sista studioalbum?,Abbey Road,Let It Be,The Beatles (White Album),Sgt. Pepper's
60tal,Vad var Vällingby ett exempel på?,ABC-samhälle,Förort,Suburb,Satellit
60tal,Vem spelade Batman?,Adam West,Burt Ward,Caesar Romero,Frank Gorshin
60tal,Vem var första amerikan i rymden?,Alan Shepard,John Glenn,Gus Grissom,Scott Carpenter
60tal,Vem var första amerikan i rymden?,Alan Shepard,John Glenn,Gus Grissom,Scott Carpenter
60tal,Vilket år byggdes Öresundsbron första gången?,Aldrig på 60-talet,1969,1968,1967
60tal,Vem utförde första rymdpromenaden?,Alexei Leonov,Ed White,Yuri Gagarin,John Glenn
60tal,Vad hette Siw Malmkvists vinnarlåt?,Alla andra får varann,Man vänjer sig,Apelsinblommornas doft,Augustin
60tal,"Vem skrev ""Howl""?",Allen Ginsberg,Jack Kerouac,William S. Burroughs,Lawrence Ferlinghetti
60tal,Vad hette den svenska neutralitetspolitiken?,Alliansfrihet,Neutralitet,Blockfrihet,Alla ovanstående
60tal,Vad stod ATP för?,Allmän tilläggspension,Allmän total pension,Allmän trygg pension,Allmän tillförlitlig pension
60tal,Var mördades Robert Kennedy?,Ambassador Hotel,Beverly Hills Hotel,Hollywood Roosevelt,Chateau Marmont
60tal,Vem målade Campbells sopburkar?,Andy Warhol,Roy Lichtenstein,Jasper Johns,Robert Rauschenberg
60tal,Vem producerade The Velvet Underground?,Andy Warhol,Phil Spector,George Martin,Brian Wilson
60tal,Vem spelade Mrs. Robinson?,Anne Bancroft,Katharine Ross,Faye Dunaway,Jane Fonda
60tal,Vad hette det amerikanska måndprogrammet?,Apollo,Mercury,Gemini,Skylab
60tal,Vad stod ABC för i ABC-samhälle?,Arbete Bostad Centrum,Alla Bra Centrum,Arbete Barn Centrum,Alla Behöver Centrum
60tal,"Vem sjöng ""Respect""?",Aretha Franklin,Diana Ross,Gladys Knight,Tina Turner
60tal,"Vem regisserade ""Bonnie and Clyde""?",Arthur Penn,Mike Nichols,Robert Altman,Francis Ford Coppola
60tal,Vad hette Bonds bil?,Aston Martin,Jaguar,Bentley,Rolls Royce
60tal,Vad hette pensionsreformen?,ATP,KTP,ITP,SPP
60tal,Vad hette pensionsstriden?,ATP-striden,Pensionsdebatten,Socialstriden,Välfärdsstriden
60tal,Vad hette den misslyckade invasionen av Kuba?,Bay of Pigs,Playa Girón,Båda ovanstående,Cuban Invasion
60tal,Vad kallades Kerouacs generation?,Beat Generation,Lost Generation,Hippie Generation,Silent Generation
60tal,Vad kallades The Beatles fenomen i USA?,Beatlemania,British Invasion,Fab Four Fever,Liverpool Madness
60tal,Vilken frisyr var populär bland kvinnor?,Beehive,Afro,Page boy,Flip
60tal,Vem var programledare för Aktuellt?,Bengt Magnusson,Arne Weise,Lennart Hyland,Lasse Holmqvist
60tal,Vem spelade keyboard i Hep Stars?,Benny Andersson,Svenne Hedlund,Christer Pettersson,Janne Frisk
60tal,Vad hette krisen före Berlinmurens byggande?,Berlin Crisis,German Crisis,Wall Crisis,Cold War Crisis
60tal,Vem grundade Motown Records?,Berry Gordy,Smokey Robinson,Diana Ross,Stevie Wonder
60tal,Vad hette Barney Rubbles hustru?,Betty,Wilma,Pebbles,Bamm-Bamm
60tal,"Vem spelade i ""Persona""?",Bibi Andersson,Liv Ullmann,Båda ovanstående,Max von Sydow
60tal,Vad hette Janis Joplins band?,Big Brother and the Holding Company,Full Tilt Boogie,Kozmic Blues Band,Pearl
60tal,Vad hände under Mexico-OS?,Black Power-hälsning,Studentprotester,Båda ovanstående,Bojkott
60tal,Vad bar hippies ofta?,Blommor i håret,Fredsymboler,Färgglada kläder,Alla ovanstående
60tal,Vad hette Bob Dylans genombrott?,Blowin' in the Wind,The Times They Are a-Changin',Like a Rolling Stone,Mr. Tambourine Man
60tal,Vem var Englands kapten under VM 1966?,Bobby Moore,Bobby Charlton,Geoff Hurst,Martin Peters
60tal,I vilket land dog Che Guevara?,Bolivia,Kuba,Argentina,Colombia
60tal,Vem dödade Che Guevara?,Bolivianska armén,CIA,Kubaner,Gerillor
60tal,Vad var kontroversiellt med Englands tredje mål?,Bollen var inte över linjen,Offside,Hands,Foul
60tal,Vilket land vann fotbolls-VM 1962?,Brasilien,Tjeckoslovakien,Chile,Jugoslavien
60tal,Vem var The Beatles manager?,Brian Epstein,George Martin,Allen Klein,Dick James
60tal,Vem grundade Rolling Stones?,Brian Jones,Mick Jagger,Keith Richards,Bill Wyman
60tal,Vem dog ur Rolling Stones?,Brian Jones,Mick Taylor,Ron Wood,Charlie Watts
60tal,Vem ledde The Beach Boys?,Brian Wilson,Mike Love,Dennis Wilson,Carl Wilson
60tal,"Vem sjöng ""For What It's Worth""?",Buffalo Springfield,The Byrds,The Mamas & The Papas,The Turtles
60tal,Vem spelade Robin?,"Burt Ward",Adam West,Caesar Romero,Frank Gorshin
60tal,Vem var andra människa på månen?,Buzz Aldrin,Michael Collins,Pete Conrad,Alan Bean
60tal,Vad hette SAS första jetplan?,Caravelle,DC-8,Boeing 707,Comet
60tal,Vad hette Ian Flemings första Bond-bok?,Casino Royale,Dr. No,From Russia with Love,Goldfinger
60tal,Vad hette Muhammad Ali innan han bytte namn?,Cassius Clay,Sonny Clay,Clay Muhammad,Cassius Muhammad
60tal,Vem var Frankrikes president under maj-68?,Charles de Gaulle,Georges Pompidou,François Mitterrand,Valéry Giscard d'Estaing
60tal,"Vem spelade Taylor i ""Planet of the Apes""?",Charlton Heston,Roddy McDowall,Kim Hunter,Maurice Evans
60tal,Var hölls fotbolls-VM 1962?,Chile,Brasilien,England,Mexico
60tal,Vem planerade Grisbukt-invasionen?,CIA,Pentagon,State Department,FBI
60tal,Hur många amerikanska desertörer kom till Sverige?,Cirka 1000,Cirka 500,Cirka 2000,Cirka 1500
60tal,Vad hette omställningen till högertrafik?,Dagen H,H-dagen,Högerdag,Trafikdag
60tal,I vilken stad mördades JFK?,Dallas,Houston,Austin,San Antonio
60tal,I vilken stad mördades JFK?,Dallas,Houston,Austin,Fort Worth
60tal,Vad sa Taylor vid slutet?,Damn you all to hell!,You maniacs!,Båda ovanstående,Take your stinking paws off me
60tal,Vad hette studentledaren i Paris?,Daniel Cohn-Bendit,Alain Geismar,Jacques Sauvageot,Rudi Dutschke
60tal,"Vem regisserade ""Lawrence of Arabia""?",David Lean,John Ford,William Wyler,George Stevens
60tal,"Vem regisserade ""Easy Rider""?",Dennis Hopper,Peter Fonda,Jack Nicholson,Bob Rafelson
60tal,Var grundades Motown Records?,Detroit,Chicago,Philadelphia,Memphis
60tal,Vad hette Supremes frontfigur?,Diana Ross,Mary Wilson,Florence Ballard,Cindy Birdsong
60tal,Vad hette första Bond-filmen?,Dr. No,From Russia with Love,Goldfinger,Thunderball
60tal,Vad gjorde Bamse stark?,Dunderhonung,Jordnötter,Morot,Spenat
60tal,Vem ledde kuppen mot Diem?,Duong Van Minh,Nguyen Van Thieu,Nguyen Cao Ky,Tran Van Don
60tal,"Vem spelade Benjamin i ""The Graduate""?",Dustin Hoffman,Warren Beatty,Robert Redford,Al Pacino
60tal,Vad hette månmodulen?,Eagle,Columbia,Intrepid,Falcon
60tal,Vem ledde utredningen om JFK-mordet?,Earl Warren,Robert Kennedy,J. Edgar Hoover,Lyndon Johnson
60tal,Vad hette motorcykelfilmen?,Easy Rider,Wild Angels,The Wild One,Born to Be Wild
60tal,Vem var första amerikan att göra rymdpromenad?,Ed White,Alan Shepard,John Glenn,Gus Grissom
60tal,Vad var målet med miljonprogrammet?,En miljon lägenheter på 10 år,En miljon hus,En miljon familjer,En miljon kvadratmeter
60tal,Vilket land vann fotbolls-VM 1966?,England,Västtyskland,Portugal,Sovjetunionen
60tal,Var hölls fotbolls-VM 1966?,England,Chile,Mexico,Västtyskland
60tal,"Vad hette rymdskeppet i ""Star Trek""?",Enterprise,Voyager,Defiant,Discovery
60tal,Vem grundade H&M?,Erling Persson,Ingvar Kamprad,Stefan Persson,Lars Persson
60tal,Vem var Portugals stora stjärna under VM 1966?,Eusébio,Coluna,Simões,Torres
60tal,Vad kallade Kennedy sin kris-team?,ExComm,National Security Council,Cabinet,Joint Chiefs
60tal,Vem spelade Bonnie?,Faye Dunaway,Warren Beatty,Gene Hackman,Estelle Parsons
60tal,Vem var Kubas ledare under krisen?,Fidel Castro,Che Guevara,Raúl Castro,Camilo Cienfuegos
60tal,"Vem gjorde ""Here come da judge"" känt?",Flip Wilson,Sammy Davis Jr.,Richard Pryor,Pigmeat Markham
60tal,Vilket mode kom med hippierörelsen?,Flower power,Peace and love,Båda ovanstående,Psychedelic
60tal,Vem besegrade Ingemar Johansson?,Floyd Patterson,Sonny Liston,Muhammad Ali,Rocky Marciano
60tal,Vad hette organisationen som hjälpte desertörer?,FNL-rörelsen,Vietnamkommittén,Deserterhjälpen,Fredskampanjen
60tal,Vad kallades den svenska välfärdspolitiken?,Folkhemmet,Välfärdsstaten,Svenska modellen,Socialdemokrati
60tal,Vad var speciellt med Tokyo-OS?,Första i Asien,Första färg-TV,Båda ovanstående,Första i rymden
60tal,Vad var The Who kända för på scenen?,Förstöra instrument,Långa solon,Kostymer,Pyroteknik
60tal,Vem var Brasiliens stjärna under VM 1962?,Garrincha,Pelé,Vava,Didi
60tal,Vad hette de Gaulles parti?,Gaullists,RPR,UDF,Centrists
60tal,Vem gjorde Englands avgörande mål i finalen?,Geoff Hurst,Bobby Charlton,Bobby Moore,Martin Peters
60tal,Vem producerade The Beatles album?,George Martin,Brian Epstein,Phil Spector,Rick Rubin
60tal,Vem var Frankrikes premiärminister?,Georges Pompidou,Michel Debré,Jacques Chaban-Delmas,Pierre Messmer
60tal,Vem var sångare i Jefferson Airplane?,Grace Slick,Janis Joplin,Joni Mitchell,Joan Baez
60tal,Vad hette LBJ:s inrikespolitik?,Great Society,New Deal,Fair Deal,New Frontier
60tal,Vad hette Tunnelbanans första linje?,Grön linje,Röd linje,Blå linje,Gul linje
60tal,Vad jämförde Palme USA:s bombningar med?,Guernica,Nazityskland,Båda ovanstående,Andra världskriget
60tal,Varifrån kom Tages?,Göteborg,Stockholm,Malmö,Uppsala
60tal,"Vad hette datorn i ""2001""?",HAL 9000,SAL 9000,CAL 9000,PAL 9000
60tal,Vad hette H&M ursprungligen?,Hennes,Hennes & Mauritz,H&M,Herrmode
60tal,Vad hette företaget efter att herrkläder tillkom?,Hennes & Mauritz,H&M,Båda ovanstående,Herrmode & Dammode
60tal,"Vilket svenskt band hade hit med ""Cadillac""?",Hep Stars,Tages,Sven-Ingvars,Ola & the Janglers
60tal,Vad kallades Woodstock-generationen?,Hippies,Beatniks,Flower children,Peace generation
60tal,Vem ledde Nordvietnam?,Ho Chi Minh,Vo Nguyen Giap,Le Duan,Pham Van Dong
60tal,Vad sa Robin ofta?,Holy Batman!,Gosh Batman!,Wow Batman!,Great Batman!
60tal,Vilket parti motsatte sig ATP?,Högerpartiet,Centerpartiet,Folkpartiet,Alla ovanstående
60tal,Vad hette The Beatles första hit i USA?,I Want to Hold Your Hand,Love Me Do,Please Please Me,She Loves You
60tal,"Vem regisserade ""Persona""?",Ingmar Bergman,Bo Widerberg,Vilgot Sjöman,Jan Troell
60tal,"Vem regisserade ""Det sjunde inseglet""?",Ingmar Bergman,Bo Widerberg,Vilgot Sjöman,Jan Troell
60tal,Vad kallades Ingemar Johansson?,Ingo,Thunder of Göteborg,Swedish Hammer,Nordic Lightning
60tal,Vem grundade IKEA?,Ingvar Kamprad,Ingvar Carlsson,Ingvar Svensson,Ingvar Lindqvist
60tal,Varifrån kom namnet IKEA?,Ingvar Kamprad Elmtaryd Agunnaryd,Ingvar Kamprad Elmhult Agunnaryd,Ingvars Katalog Elmtaryd Agunnaryd,Ingvars Kampanj Elmtaryd Agunnaryd
60tal,"Vem skrev ""On the Road""?",Jack Kerouac,Allen Ginsberg,William S. Burroughs,Neal Cassady
60tal,Vem sköt Lee Harvey Oswald?,Jack Ruby,Clay Shaw,David Ferrie,James Files
60tal,Vem sköt Lee Harvey Oswald?,Jack Ruby,Clay Shaw,David Ferrie,James Files
60tal,Vem anklagades för mordet på MLK?,James Earl Ray,Byron De La Beckwith,Edgar Ray Killen,Bobby Frank Cherry
60tal,Vem anklagades för mordet på MLK?,James Earl Ray,Byron De La Beckwith,Edgar Ray Killen,Bobby Frank Cherry
60tal,Vem ledde oppositionen mot ATP?,Jarl Hjalmarson,Gunnar Hedlund,Bertil Ohlin,Per Ahlmark
60tal,"Vem sjöng ""White Rabbit""?",Jefferson Airplane,The Doors,The Velvet Underground,Love
60tal,Vem var sångare i The Doors?,Jim Morrison,Ray Manzarek,Robby Krieger,John Densmore
60tal,Vem spelade på Woodstock?,Jimi Hendrix,Janis Joplin,The Who,Alla ovanstående
60tal,Vem var USA:s president under Kubakrisen?,John F. Kennedy,Lyndon Johnson,Dwight Eisenhower,Richard Nixon
60tal,Vem var USA:s president i början av 60-talet?,John F. Kennedy,Dwight Eisenhower,Lyndon Johnson,Richard Nixon
60tal,Vem utlovade måndlandning före decenniets slut?,John F. Kennedy,Lyndon Johnson,Dwight Eisenhower,Richard Nixon
60tal,Vem var första amerikan i omloppsbana?,John Glenn,Alan Shepard,Gus Grissom,Scott Carpenter
60tal,Vem spelade Maria von Trapp?,Julie Andrews,Debbie Reynolds,Doris Day,Grace Kelly
60tal,Vem var första människa i rymden?,Jurij Gagarin,Alan Shepard,John Glenn,Valentina Teresjkova
60tal,Vem var första människa i rymden?,Jurij Gagarin,Alan Shepard,John Glenn,Gherman Titov
60tal,Vem var Västtysklands kansler?,Konrad Adenauer,Ludwig Erhard,Willy Brandt,Helmut Schmidt
60tal,Vem anklagades för mordet på JFK?,Lee Harvey Oswald,Jack Ruby,Clay Shaw,David Ferrie
60tal,Vem anklagades för mordet på JFK?,Lee Harvey Oswald,Jack Ruby,Clay Shaw,David Ferrie
60tal,Vem spelade Spock?,Leonard Nimoy,William Shatner,DeForest Kelley,Nichelle Nichols
60tal,Var höll MLK sitt berömda tal?,Lincoln Memorial,Washington Monument,Capitol Building,White House
60tal,Varifrån kom The Beatles?,Liverpool,London,Manchester,Birmingham
60tal,Var mördades Robert Kennedy?,Los Angeles,San Francisco,Chicago,New York
60tal,I vilken stad mördades RFK?,Los Angeles,San Francisco,Chicago,New York
60tal,Vem grundade The Velvet Underground?,Lou Reed,John Cale,Andy Warhol,Nico
60tal,Vem var JFK:s vicepresident?,Lyndon Johnson,Hubert Humphrey,Walter Mondale,Richard Nixon
60tal,Vem blev president efter JFK?,Lyndon Johnson,Hubert Humphrey,Robert Kennedy,Richard Nixon
60tal,Inom vilken sport tävlade Sixten Jernberg?,Längdskidåkning,Alpin skidåkning,Skidskytte,Backhoppning
60tal,Vad hette Malcolm X med riktiga namnet?,Malcolm Little,Malcolm Shabazz,El-Hajj Malik El-Shabazz,Malcolm X
60tal,Vad hette Malcolm X med riktiga namnet?,Malcolm Little,Malcolm Shabazz,El-Hajj Malik El-Shabazz,Detroit Red
60tal,Vad hette marschen där MLK höll sitt tal?,March on Washington,Freedom March,Civil Rights March,Dream March
60tal,Vad hette marschen där MLK talade?,March on Washington for Jobs and Freedom,Freedom March,Civil Rights March,Dream March
60tal,Vad beslutade Kennedy att göra?,Marin-blockad,Invasion,Bombning,Ingenting
60tal,"Vem sjöng ""Dancing in the Street""?",Martha and the Vandellas,The Supremes,The Marvelettes,The Velvelettes
60tal,Vem ledde medborgarrättsrörelsen i USA?,Martin Luther King Jr.,Malcolm X,Rosa Parks,Jesse Jackson
60tal,"Vem sjöng ""I Heard It Through the Grapevine""?",Marvin Gaye,Stevie Wonder,Smokey Robinson,The Temptations
60tal,Vem uppfann minikjolen?,Mary Quant,Twiggy,Jean Shrimpton,Coco Chanel
60tal,I vilken stad mördades MLK?,Memphis,Montgomery,Birmingham,Atlanta
60tal,Vem spelade Rosemary?,Mia Farrow,Ruth Gordon,Sidney Blackmer,John Cassavetes
60tal,"Vem regisserade ""The Graduate""?",Mike Nichols,Arthur Penn,Robert Altman,Francis Ford Coppola
60tal,Vilket klädesplagg revolutionerade 60-talet?,Minikjol,Maxikjol,Kostym,Klänning
60tal,Vad kallades 60-talets ungdomsmode?,Mod,Beat,Pop,Rock
60tal,Vad startade Rosa Parks?,Montgomery bussbojkott,Freedom Rides,Sit-ins,Voter registration
60tal,Vad hette The Beatles frisyr?,Mop-top,Bowl cut,Caesar cut,Crew cut
60tal,Vad hette The Byrds största hit?,Mr. Tambourine Man,Turn! Turn! Turn!,Eight Miles High,So You Want to Be a Rock 'n' Roll Star
60tal,Hur gick omställningen?,Mycket bra,Kaotiskt,Medelmåttigt,Dåligt
60tal,Vem mördade Malcolm X?,Nation of Islam-medlemmar,James Earl Ray,Byron De La Beckwith,Edgar Ray Killen
60tal,Vem mördade Malcolm X?,Nation of Islam-medlemmar,KKK,FBI,Polisen
60tal,Vad stod FNL för?,Nationella befrielsefronten i Sydvietnam,Fredens nationella liga,Folkets nationella liga,Frihetens nationella liga
60tal,Vem var första människa på månen?,Neil Armstrong,Buzz Aldrin,Michael Collins,Pete Conrad
60tal,Vem var befälhavare för Apollo 11?,Neil Armstrong,Buzz Aldrin,Michael Collins,Pete Conrad
60tal,Vem var med i Buffalo Springfield?,Neil Young,Stephen Stills,Båda ovanstående,Joni Mitchell
60tal,Vad hette JFK:s inrikespolitik?,New Frontier,Great Society,New Deal,Fair Deal
60tal,Var hölls Woodstock?,New York,Kalifornien,Pennsylvania,New Jersey
60tal,I vilken stad mördades Malcolm X?,New York,Detroit,Chicago,Philadelphia
60tal,På vilken festival fick Bob Dylan burop för elgitarr?,Newport Folk Festival,Woodstock,Monterey Pop,Isle of Wight
60tal,Vem var Sydvietnams president under 60-talet?,Ngo Dinh Diem,Nguyen Van Thieu,Nguyen Cao Ky,Duong Van Minh
60tal,Vem var Sovjetunionens ledare under Kubakrisen?,Nikita Chrusjtjov,Leonid Brezjnev,Joseph Stalin,Alexei Kosygin
